ID,NumbOffspring,StdL,PlateMorph,Day
F2.011,1,4.207177,2,4.5
F2.013,3,3.830824,1,4.5
F2.014,0,4.244017,2,4.5
F2.015,0,4.065684,2,4.5
F2.016,0,4.088991,0,4.5
F2.017,0,4.348041,1,4.5
F2.024,1,5.257507,2,4.5
F2.025,2,3.963255,2,4.5
F2.027,0,4.702363,2,4.5
F2.029,2,5.375203,1,4.5
F2.032,1,4.637819,2,4.5
F2.035,1,4.858993,2,4.5
F2.036,0,4.984142,1,4.5
F2.041,2,4.845597,0,4.5
F2.051,0,4.804361,0,4.5
F2.052,2,4.843777,1,4.5
F2.053,1,4.722945,1,4.5
F2.054,0,3.836796,2,4.5
F2.055,4,4.59732,2,4.5
F2.056,0,4.167532,1,4.5
F2.059,2,4.458552,2,4.5
F2.060,1,4.3811,2,4.5
F2.061,0,3.949098,2,4.5
F2.063,1,5.268767,2,4.5
F2.064,1,4.755981,2,4.5
F2.065,1,4.741077,2,4.5
F2.068,2,4.6551,2,4.5
F2.069,1,4.564318,0,4.5
F2.071,1,5.167548,1,4.5
F2.073,3,5.281167,2,4.5
F2.074,2,5.037019,2,4.5
F2.076,4,4.983376,2,4.5
F2.079,2,5.153291,2,4.5
F2.080,3,4.750095,0,4.5
F2.081,3,5.249142,2,4.5
F2.083,1,5.008835,2,4.5
F2.086,0,4.921933,0,4.5
F2.088,0,5.038486,2,4.5
F2.089,3,5.131844,2,4.5
F2.091,0,4.029368,2,4.5
F2.092,1,3.934968,0,4.5
F2.094,2,4.908458,0,4.5
F2.095,1,5.207286,1,4.5
F2.097,2,3.589515,2,4.5
F2.101,0,4.584175,1,4.5
F2.104,1,4.729524,2,4.5
F2.106,1,4.101447,2,4.5
F2.110,2,5.071425,2,4.5
F2.112,0,4.013854,2,4.5
F2.120,3,4.932414,0,4.5
F2.121,0,5.174856,0,4.5
F2.123,1,3.948024,2,4.5
F2.126,2,4.798195,2,4.5
F2.129,0,4.646408,2,4.5
F2.134,8,5.453341,0,4.5
F2.135,4,4.403016,2,4.5
F2.136,5,4.902828,0,4.5
F2.137,2,4.880523,2,4.5
F2.138,1,4.747276,0,4.5
F2.143,0,5.154806,2,4.5
F2.144,0,4.866846,0,4.5
F2.145,2,5.067177,0,4.5
F2.146,7,4.779449,2,4.5
F2.147,3,5.127212,1,4.5
F2.152,2,4.823948,0,4.5
F2.154,2,4.758542,2,4.5
F2.156,0,4.26477,2,4.5
F2.157,0,4.232945,2,4.5
F2.158,3,4.558759,0,4.5
F2.164,2,4.489318,2,4.5
F2.166,9,5.381438,2,4.5
F2.172,3,5.186279,2,4.5
F2.176,4,4.02376,0,4.5
F2.178,9,5.364092,0,4.5
F2.182,6,5.030333,0,4.5
F2.184,1,4.316993,0,4.5
F2.186,11,4.522978,0,4.5
F2.191,3,4.784212,2,4.5
F2.194,1,4.661483,2,4.5
F2.195,0,4.716665,1,4.5
F2.198,0,4.444273,2,4.5
F2.200,1,4.866801,1,4.5
F2.202,1,4.370021,2,4.5
F2.203,4,4.494316,0,4.5
F2.205,0,3.619518,2,4.5
F2.209,2,4.668613,0,4.5
F2.213,1,4.558476,0,4.5
F2.217,0,5.215586,2,4.5
F2.218,2,5.454369,2,4.5
F2.220,0,4.688932,2,4.5
F2.222,1,5.036689,2,4.5
F2.223,0,5.089243,2,4.5
F2.225,5,4.638277,2,4.5
F2.227,5,4.815513,2,4.5
F2.228,2,5.026993,0,4.5
F2.230,0,4.365945,2,4.5
F2.232,0,5.005025,0,4.5
F2.234,1,3.971405,0,4.5
F2.236,4,5.060465,0,4.5
F2.237,7,4.999589,0,4.5
F2.238,1,3.881571,0,4.5
F2.242,1,3.827714,2,4.5
F2.247,0,5.228093,2,4.5
F2.250,2,5.073591,2,4.5
F2.252,1,5.151355,2,4.5
F2.253,2,4.312653,0,4.5
F2.254,0,4.870038,2,4.5
F2.255,1,4.545788,1,4.5
F2.256,0,4.206603,2,4.5
F2.259,1,5.181031,0,4.5
F2.261,2,4.34021,1,4.5
F2.264,2,5.506357,2,4.5
F2.269,3,5.046471,2,4.5
F2.270,3,4.798076,1,4.5
F2.274,3,4.837201,2,4.5
F2.276,2,5.278296,2,4.5
F2.277,0,4.834089,2,4.5
F2.278,1,4.630022,1,4.5
F2.280,0,4.037444,2,4.5
F2.281,0,5.271934,0,4.5
F2.282,2,5.23989,1,4.5
F2.283,2,5.265347,2,4.5
F2.291,3,4.233267,2,4.5
F2.292,0,4.01758,2,4.5
F2.293,2,5.347588,0,4.5
F2.294,1,5.151498,1,4.5
F2.295,0,4.703655,2,4.5
F2.297,3,4.551211,1,4.5
F2.299,0,5.037755,0,4.5
F2.300,2,5.057381,0,4.5
F2.301,2,4.856955,2,4.5
F2.302,4,5.312109,2,4.5
F2.303,1,4.837751,2,4.5
F2.307,4,4.825816,0,4.5
F2.308,2,5.207695,2,4.5
F2.309,1,4.709987,2,4.5
F2.311,1,4.535061,2,4.5
F2.312,8,5.088552,0,4.5
F2.313,4,5.436053,1,4.5
F2.316,11,5.128909,0,4.5
F2.318,8,5.204865,0,4.5
F2.320,7,5.339579,2,4.5
F2.322,0,4.604114,2,4.5
F2.326,4,5.283568,0,4.5
F2.327,1,4.430612,2,4.5
F2.328,2,3.924213,2,4.5
F2.329,0,5.32353,2,4.5
F2.330,2,4.738595,1,4.5
F2.334,6,5.227045,2,4.5
F2.337,0,4.7145,2,4.5
F2.339,0,5.332963,1,4.5
F2.341,0,5.123925,2,4.5
F2.344,5,5.046787,2,4.5
F2.345,1,4.219002,1,4.5
F2.349,0,4.778732,0,4.5
F2.350,0,5.0035,2,4.5
F2.351,0,4.847791,2,4.5
F2.354,1,5.438034,2,4.5
F2.357,10,5.101078,0,4.5
F2.358,8,4.86904,2,4.5
F2.361,3,5.078179,2,4.5
F2.363,0,4.175136,2,4.5
F2.365,4,5.218976,2,4.5
F2.366,4,5.20145,0,4.5
F2.368,0,5.011941,0,4.5
F2.372,3,5.381192,2,4.5
F2.375,3,5.013452,0,4.5
F2.381,6,4.884326,2,4.5
F2.382,1,4.849395,2,4.5
F2.384,4,4.456103,2,4.5
F2.385,2,4.694131,1,4.5
F2.388,0,5.071647,1,4.5
F2.390,0,4.984311,0,4.5
F2.391,0,5.160686,2,4.5
F2.392,1,5.352115,2,4.5
F2.393,2,4.603253,1,4.5
F2.394,3,5.322143,2,4.5
F2.395,0,5.226136,0,4.5
F2.396,0,5.462149,0,4.5
F2.397,6,5.317052,2,4.5
F2.400,0,4.472951,0,4.5
F2.403,2,4.217649,2,4.5
F2.407,1,4.130257,1,4.5
F2.409,0,5.198023,2,4.5
F2.411,3,5.230086,2,23
F2.412,7,5.794513,0,23
F2.414,4,5.069835,1,23
F2.416,1,5.458655,1,23
F2.418,2,4.819856,1,23
F2.420,1,5.395653,2,23
F2.421,0,5.689193,2,23
F2.423,8,4.972253,0,23
F2.424,2,4.583114,2,23
F2.425,4,4.619913,1,23
F2.426,1,5.109241,2,23
F2.428,11,5.542091,0,23
F2.429,6,4.741386,2,23
F2.430,2,5.298812,2,23
F2.431,2,3.911376,0,23
F2.433,2,5.481126,0,23
F2.439,0,4.673216,0,23
F2.441,6,5.57727,2,23
F2.442,1,5.045984,0,23
F2.444,1,5.161049,2,23
F2.445,0,4.921081,1,23
F2.448,0,5.098031,2,23
F2.449,3,4.794627,2,23
F2.450,7,5.262678,0,23
F2.454,3,5.421939,2,23
F2.456,5,5.619709,0,23
F2.457,1,4.997133,2,23
F2.460,0,5.205085,2,23
F2.461,0,4.388468,2,23
F2.462,0,4.866756,2,23
F2.463,0,5.041992,2,23
F2.464,8,5.053509,0,23
F2.465,2,5.272355,0,23
F2.467,3,5.360845,0,23
F2.470,1,5.087051,1,23
F2.472,3,4.864577,2,23
F2.477,4,5.079116,2,37
F2.478,1,4.910228,2,37
F2.479,0,4.518441,2,37